"variable","class","missing_n","missing_pct","source","relative_path"
"ndi","numeric",238,0.238,"block_group_ndi","4_bg_ndi_wi/ndi_demo100k.parquet"
"l50dba_exi","numeric",219,0.219,"noise_270m","2_noise/noise_270m_demo100k.parquet"
"l50dba_imp","numeric",219,0.219,"noise_270m","2_noise/noise_270m_demo100k.parquet"
"l50dba_nat","numeric",219,0.219,"noise_270m","2_noise/noise_270m_demo100k.parquet"
"nhd_dist_area_m","numeric",149,0.149,"nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"soc_r_bowling","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_business","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_civic","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_golf","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_labor","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_political","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_professional","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_recreational","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_religious","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_sports","numeric",126,0.126,"zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"nat_walk_ind","numeric",5,0.005,"block_group_walkability","4_bg_ndi_wi/wi_demo100k.parquet"
"nhd_dist_blue_m","numeric",0,0,"nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"nhd_dist_coast_m","numeric",0,0,"nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"nhd_dist_flow_m","numeric",0,0,"nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"nhd_dist_water_m","numeric",0,0,"nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"temis_uvddc_aw","numeric",0,0,"temis_uv","7_temis/temis_270m_demo100k.parquet"
"temis_uvdec_aw","numeric",0,0,"temis_uv","7_temis/temis_270m_demo100k.parquet"
"temis_uvdvc_aw","numeric",0,0,"temis_uv","7_temis/temis_270m_demo100k.parquet"
"temis_uvief_aw","numeric",0,0,"temis_uv","7_temis/temis_270m_demo100k.parquet"
"road_dist_pri","numeric",0,0,"tiger_road_proximity","3_tiger/roadProximity_demo100k.parquet"
"road_dist_prisec","numeric",0,0,"tiger_road_proximity","3_tiger/roadProximity_demo100k.parquet"
"road_dist_sec","numeric",0,0,"tiger_road_proximity","3_tiger/roadProximity_demo100k.parquet"
"fara_group_quarters_flag","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_hunvflag","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_la1and10","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_la1and20","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahalfand10","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunv10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunv1_10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunv1share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunv20share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunvhalfshare","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakids10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakids1_10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakids1share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakids20share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakidshalfshare","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi05_10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi1_10share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi1_20share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi1share","numeric",0,0,"tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
