"variable","source","relative_path"
"ndi","block_group_ndi","4_bg_ndi_wi/ndi_demo100k.parquet"
"nat_walk_ind","block_group_walkability","4_bg_ndi_wi/wi_demo100k.parquet"
"nhd_dist_area_m","nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"nhd_dist_blue_m","nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"nhd_dist_coast_m","nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"nhd_dist_flow_m","nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"nhd_dist_water_m","nhd_blue_space_proximity","5_nhd/nhd_demo100k.parquet"
"l50dba_exi","noise_270m","2_noise/noise_270m_demo100k.parquet"
"l50dba_imp","noise_270m","2_noise/noise_270m_demo100k.parquet"
"l50dba_nat","noise_270m","2_noise/noise_270m_demo100k.parquet"
"temis_uvddc_aw","temis_uv","7_temis/temis_270m_demo100k.parquet"
"temis_uvdec_aw","temis_uv","7_temis/temis_270m_demo100k.parquet"
"temis_uvdvc_aw","temis_uv","7_temis/temis_270m_demo100k.parquet"
"temis_uvief_aw","temis_uv","7_temis/temis_270m_demo100k.parquet"
"road_dist_pri","tiger_road_proximity","3_tiger/roadProximity_demo100k.parquet"
"road_dist_prisec","tiger_road_proximity","3_tiger/roadProximity_demo100k.parquet"
"road_dist_sec","tiger_road_proximity","3_tiger/roadProximity_demo100k.parquet"
"fara_group_quarters_flag","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_hunvflag","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_la1and10","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_la1and20","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahalfand10","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunv10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunv1_10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunv1share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunv20share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lahunvhalfshare","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakids10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakids1_10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakids1share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakids20share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lakidshalfshare","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi05_10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi1_10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi1_20share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi1share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowi20share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lalowihalfshare","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapop05_10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapop10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapop1_10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapop1_20share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapop1share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapop20share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lapophalfshare","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniors10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniors1_10share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniors1share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniors20share","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_laseniorshalfshare","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts1","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts10","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts20","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts_half","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_latracts_vehicle_20","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lilatracts_1_and10","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lilatracts_1_and20","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_lilatracts_half_and10","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_low_income_tracts","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"fara_pctgqtrs","tract_fara_food_access","8_tract_fara/fara_demo100k.parquet"
"vnl_value_aw","visible_nighttime_light","6_vnl/vnl_demo100k.parquet"
"soc_r_bowling","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_business","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_civic","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_golf","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_labor","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_political","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_professional","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_recreational","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_religious","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
"soc_r_sports","zbp_primary_cbp_fallback","1_county_zcta5_zbp_cbp/zbp_demo100k.parquet | 1_county_zcta5_zbp_cbp/cbp_demo100k.parquet"
